"Id";"Descricao";"TipoUnidade_id";"Ativo";"NomeExibicao"
"01055004001003";"Gerência de Análise de Pólo Gerador de Trânsito - GEAPO/DER";"4";"1";"GEAPO/DER"
"01055004001004";"Gerência de Estudos de Adequação Viária - GEAVI/DER";"4";"1";"GEAVI/DER"
"01055004001005";"Gerência de Estudos e Estatística de Tráfego - GESET/DER";"4";"1";"GESET/DER"
"01055004001005001";"Núcleo de Pesquisa e Coleta de Dados - NUPCD / DER";"4";"0";"NUPCD / DER"
"01055004001006";"Gerência de Análise de Impacto Viário - GEANI / DER";"4";"1";"GEANI"
"01055004002";"Gerência de Engenharia e Segurança Viária (GESEV) - DER";"4";"0";"(GESEV /  DER)"
"01055004003";"Gerência de Projetos de Engenharia de Tráfego - GEPET/DER";"4";"0";""
"01055004004";"Gerência de Análise de Pólo Gerador de Trânsito (GEAPO) - DER";"4";"0";""
"01055004005";"Gerência de Estudos de Adequação Viária (GEAVI) - DER";"4";"0";""
"01055004006";"Gerência de Estudos e Estatística de Tráfego (GESET) - DER";"4";"0";""
"01055004007";"Núcleo de Pesquisa e Coleta de Dados (NUPCD) - DER";"4";"0";"(NUPCD)"
"01055004008";"Diretoria de Fiscalização e Segurança de Trânsito - DIFIT/DER";"4";"1";"DIFIT/DER"
"01055004008001";"Núcleo de Análise e Defesa Prévia - NUADP / DER";"4";"1";"NUADP/DER"
"01055004008002";"Gerência de Análise e Autorização Especial de Trânsito - GAAET/DER";"4";"1";"GAAET/DER"
"01055004008003";"Gerência de Infrações e Penalidades - GEIPE/DER";"4";"1";"GEIPE/DER"
"01055004008003001";"Comissão Permanente de Atendimento a Decisões Judiciais e Ouvidoria - CAJOUV/DER";"4";"1";"CAJOUV/DER"
"01055004008003002";"Núcleo de Instrução e Acompanhamento de Processos - NUIAP/DER";"4";"0";"NUIAP/DER"
"01055004008004";"Gerência de Controle Operacional - GECOP/DER";"4";"1";"GECOP/DER"
"01055004008004001";"Núcleo Administrativo - NUADM / DER";"4";"1";"NUADM / DER"
"01055004008004002";"Núcleo de Programação e Demandas - NUPRO / DER";"4";"0";"NUPRO / DER"
"01055004008004003";"Núcleo de Operações de Trânsito - NUOPT / DER";"4";"0";"NUOPT / DER"
"01055004008004004";"Núcleo de controle de pátio - NUCPA - DER";"4";"0";"NUCPA - DER"
"01055004008005";"Gerência de fiscalização de trânsito - GEFIT / DER";"4";"1";"GEFIT/ DER"
"01055004008005001";"Núcleo de Programação e Demandas - NUPRO / DER";"4";"1";"NUPRO / DER"
"01055004008005002";"Núcleo de Operações de Trânsito - NUOPT / DER";"4";"1";"NUOPT / DER"
"01055004008005003";"Núcleo de controle de pátio - NUCPA - DER";"4";"1";"NUCPA - DER"
"01055004008005004";"Núcleo de controle de materiais, equipamentos e viaturas - NUMET / DER";"4";"1";"NUMET / DER"
"01055004008006";"Gerência de operações especializadas - GEOPE / DER";"4";"1";"GEOPE / DER"
"01055004008006001";"Núcleo de operações especializadas - NUOPE / DER";"4";"1";"NUOPE / DER"
"01055004008006002";"Núcleo de operações aéreas - NUOPA / DER";"4";"1";"916.871.951-53"
"01055004008006003";"Núcleo de motopatrulhamento operacional - NUMOP / DER";"4";"1";"NUMOP / DER"
"01055004008006004";"Gerência de monitoramento de segurança viária - GEMOV / DER";"4";"0";"GEMOV / DER"
"01055004008006004001";"Núcleo de análise de veículos clonados - NUAVE / DER";"4";"1";"NUAVE / DER"
"01055004008006004002";"Núcleo de controle operacional - NUCON / DER";"4";"1";"NUCON / DER"
"01055004008007";"Gerênciade monitoramento de segurança viária - GEMOV / DER";"4";"1";"GEMOV / DER"
"01055004008008";"Gerência de análise de sinistros de trânsito - GEAEST / DER";"4";"1";"GEAEST / DER"
"01055004008009";"Gerência de Análise de Sinistro de Trânsito / DER";"4";"1";"GEAST / DER"
"01055004009";"Núcleo de Análise e Defesa Prévia (NUADP) - DER";"4";"0";""
"01055004010";"Gerência de Análise e Autorização Especial de Trânsito (GAAET) - DER";"4";"0";""
"01055004011";"Gerência de Infrações e Penalidades (GEIPE) - DER";"4";"0";""
"01055004012";"Comissão Permanente de Atendimento a Decisões Judiciais e Ouvidoria (CAJOUV) - DER";"4";"0";""
"01055004013";"Núcleo de Instrução e Acompanhamento de Processos (NUIAP) - DER";"4";"0";""
"01055004014";"Gerência de Controle Operacional (GECOP) - DER";"4";"0";""
"01055004015";"Núcleo Administrativo (NUADM) - DER";"4";"0";""
"01055004016";"Núcleo de Programação e Demandas (NUPRO) - DER";"4";"0";""
"01055004017";"Núcleo de Operações de Trânsito (NUOPT) - DER";"4";"0";""
"01055004018";"Diretoria de Educação de Trânsito - DIEDU/DER";"4";"1";"DIEDU/DER"
"01055004018001";"Núcleo de controle de materiais de campanhas educacionais - NUCOC / DER";"4";"1";"NUCOC / DER"
"01055004018002";"Núcleo de apoio à educação de trânsito - NAPET / DER";"4";"1";"NAPET / DER"
"01055004018003";"Gerência da escola vivencial de trânsito - GETRA / DER";"4";"1";"GETRA / DER"
"01055004018003001";"Núcleo de programação de visitas - NPROV / DER";"4";"1";"NPROV / DER"
"01055004018004";"Gerência de campanhas educativas - GECED / DER";"4";"1";"GECED / DER"
"01055004018004001";"Núcleo de planejamento de campanhas educativas - NUCED / DER";"4";"1";"NUCED / DER"
"01055004018005";"Gerência da Escola Vivencial de Trânsito - GETRA/DER";"4";"0";"GETRA/DER"
"01055004018006";"Gerência de Campanhas Educativas - GECED/DER";"4";"0";"GECED/DER"
"01055004018007";"Núcleo de Planejamento de Campanhas Educativas - NUCED/DER";"4";"0";"NUCED/DER"
"01055004018008";"Núcleo Administrativo - NUADM/DER";"4";"1";"NUADM/DER"
"01055004018009";"Núcleo de Controle de Material de Campanha - NUCOC/DER";"4";"0";"NUCOC/DER"
"01055004018010";"Núcleo de Apoio de Educação para o Trânsito - NAPET/DER";"4";"0";"NAPET/DER"
"01055004018011";"Núcleo de Programação de Visitas - NUPROV/DER";"4";"1";"NUPROV/DER"
"01055004018012";"Núcleo Administrativo da DIEDU - NUADM/DER";"4";"1";"NUADM/DER"
"01055004019";"Diretoria de Penalidades / DIPEN-DER";"4";"1";"DIPEN-DER"
"01055004019001";"Gerência de Infrações  GEINF - DER";"4";"1";"GEINF / DER"
"01055004019001001";"Núcleo de Desvinculação de Multas e Cobranças Administrativas - NDESC / DER";"4";"1";"NDESC / DER-DF"
"01055004019001002";"Núcleo de atendimento ao público - NUAPU / DER";"4";"1";"NUAPU / DER"
"01055004019001003";"Núcleo de Instrução e Acompanhamento de Processos - NUIAP/DER";"4";"1";"NUIAP/DER"
"01055004019001004";"Núcleo de Auditoria de Infrações de Trânsito - NUAUT/DER";"4";"1";"NUAUT/DER"
"01055004019002";"Gerência de Penalidades / DER";"4";"0";"GEPEN / DER"
"01055004019003";"Gerência de Penalidades - GEPEN / DER";"4";"1";"GEPEN / DER"
"01055004019003001";"Núcleo de Suspensão NSUSP / DER";"4";"1";"NSUSP / DER"
"01055004019003002";"Núcleo de Análise de Recursos - NUARE / DER";"4";"1";"NUARE / DER"
"01055004019004";"Núcleo Administrativo DIPEN - NUADM  / DER";"4";"1";"NUADM-DIPEN"
"01055004019005";"Núcleo de atendimento ao público - NUAPU / DER";"4";"0";"NUAPU / DER"
"01055004020";"Núcleo de controle de materiais, equipamentos e viaturas - NUMET / DER";"4";"0";"NUMET / DER"
"01055004021";"Diretoria de Engenharia de Tráfego - DITRA / DER";"4";"1";"DITRA / DER"
"01055004021001";"Gerência de estudos e tecnologias de tráfego - GETET / DER-DF";"4";"1";"GETET / DER-DF"
"01055004021001001";"Núcleo de análises e estudos - NUANE / DER";"4";"1";"NUANE / DER"
