"Id";"Descricao";"Tema_id";"Ativo"
"203";"Ligação clandestina de água";"9";"1"
"204";"Implantação de rede de esgoto";"14";"1"
"205";"Desmembramento da ligação de água";"9";"1"
"206";"Ligação clandestina de esgotos";"9";"1"
"207";"Qualidade da água";"9";"1"
"208";"Conduta no atendimento prestado";"13";"0"
"209";"Corte de água";"9";"1"
"210";"Cobrança de serviços";"9";"0"
"211";"Ligação de esgotos";"9";"1"
"212";"Débito automático da conta de água";"9";"1"
"213";"Entrega da conta de água";"9";"1"
"214";"Andamento de obras da CAESB";"9";"1"
"215";"Impossibilidade de leitura de hidrômetro por impedimentos";"9";"1"
"216";"Saneamento básico";"9";"1"
"217";"Despejo irregular de resíduos químicos na água, esgoto";"9";"1"
"218";"Agendamento em serviços da CAESB";"9";"1"
"219";"Tratamento de efluentes e resíduos";"9";"1"
"220";"Atendimento prioritário/preferencial em órgão público";"13";"1"
"221";"Atendimento nas agências da CAESB";"9";"1"
"222";"Discordância referente ao valor da tarifa de água";"9";"1"
"223";"Funcionamento das agências da CAESB";"9";"1"
"224";"Andamento de processo de multas na CAESB";"9";"1"
"225";"Prazo de atendimento dos serviços prestados pela CAESB";"9";"1"
"226";"Ação da diretoria";"9";"0"
"227";"Estação de tratamento de água";"9";"1"
"228";"Estação de tratamento de esgotos";"9";"1"
"229";"Abastecimento de água da CAESB";"9";"1"
"230";"Análise dos requerimentos e recursos da CAESB";"9";"1"
"231";"Inovação tecnológica em órgão,entidade pública";"13";"1"
"232";"Serviço de esgotamento sanitário";"9";"1"
"233";"Ação do Governo de Brasília";"13";"1"
"234";"Ação política no DF";"13";"1"
"235";"Planejamentos e Planos de Governo";"13";"0"
"236";"Eventos do Governo de Brasília";"13";"1"
"237";"Portal do Governo de Brasília";"13";"0"
"238";"Governador de Brasília";"13";"1"
"239";"Programas e projetos de governo";"13";"1"
"240";"Gastos públicos";"13";"0"
"241";"Leis e decretos do Governo de Brasília";"13";"1"
"242";"Secretários de Estado de Brasília";"13";"1"
"243";"Vice-Governador de Brasília";"13";"1"
"244";"Segurança do Governador e família";"8";"1"
"245";"Segurança das autoridades do Governo de Brasília";"8";"1"
"246";"Assuntos militares no Governo de Brasília";"8";"1"
"247";"Segurança da informação e comunicação do Governo de Brasília";"8";"1"
"248";"Serviço de inteligência do Governo de Brasília";"8";"1"
"249";"Segurança orgânica das sedes do Governo de Brasília";"8";"1"
"250";"Ordem pública no Distrito Federal";"8";"1"
"251";"Comitê de combate ao uso irregular do solo";"8";"1"
"252";"Vistoria em edificações privadas";"8";"1"
"253";"Fiscalização de comércio irregular";"8";"0"
"254";"Corpo de Bombeiros";"8";"1"
"255";"Fiscalização de bares, lanchonetes e restaurantes";"8";"0"
"256";"Fiscalização em estabelecimento comercial";"8";"1"
"257";"Crime praticado por bombeiro";"8";"1"
"258";"Construção irregular de obras privadas";"8";"1"
"259";"Vistoria em edificações públicas";"8";"1"
"260";"Recolhimento de galhos e troncos de árvores";"8";"0"
"261";"Falta de fiscalização em comércio";"8";"0"
"262";"Irregularidades na infraestrutura";"8";"1"
"263";"Problemas com animais sinantrópicos";"8";"0"
"264";"Instalações inadequadas ao funcionamento do órgão";"8";"0"
"265";"Obra,edificação sem alvará de construção";"8";"0"
"266";"Animais em ambientes inadequados";"8";"0"
"267";"Resgate de vítimas";"8";"1"
"268";"Armazenamento,distribuição inadequada";"8";"0"
"269";"Atendimento telefônico 193";"8";"1"
"270";"Problema não-especificado com animais";"8";"1"
"271";"Realização de festas e eventos";"8";"0"
"272";"Recolhimento de animais de pequeno porte";"14";"1"
"273";"Fiscalização de postos de combustíveis";"8";"0"
"274";"Alvará irregular em estabelecimento comercial";"8";"0"
"275";"Autorização para corte total da árvore";"7";"1"
"276";"Atendimento de solicitação de ambulância do bombeiro";"8";"1"
